IID	ALLELE_CT	NAMED_ALLELE_DOSAGE_SUM	PC1_AVG	PC2_AVG	PC3_AVG	PC4_AVG	PC5_AVG	PC6_AVG	PC7_AVG	PC8_AVG	PC9_AVG	PC10_AVG	super_pop
HG00879	1734486	1734486	0.118056	0.17289	-0.00633414	-0.0379191	0.00155904	-0.0548966	0.0117091	0.0145278	-0.00251544	-0.00389741	EAS
HG01029	1734292	1734292	0.119432	0.171092	-0.00697264	-0.0410124	0.00152048	-0.0535177	0.0127612	0.0115916	-0.00141237	-0.00154804	EAS
HG01046	1730824	1730824	0.121302	0.171777	-0.0106324	-0.0387011	-0.0024033	-0.0502479	0.0093567	0.0102747	-0.000287143	-0.000548752	EAS
HG01048	1727916	1727916	0.0513947	-0.0878022	-0.036996	-0.000150507	0.00266144	-0.00636818	-0.0163684	-0.0204941	-0.00460263	-0.00409491	AMR
HG01054	1734894	1734894	0.069845	-0.0875969	-0.0435686	0.00515098	0.00196937	-0.00900854	-0.0179689	-0.0242421	-0.000584307	-0.00939513	AMR
HG01075	1726330	1726330	0.0563688	-0.105658	-0.0293654	-0.0237644	-0.00224395	-0.00891062	-0.0120589	-0.0210443	-0.00132531	-0.00456136	AMR
HG01077	1733020	1733020	0.023186	-0.0610578	-0.0386218	0.0116809	-0.000273577	-0.00784878	-0.0158085	-0.0167856	-0.0044034	-0.0108435	AMR
HG01083	1735322	1735322	0.055601	-0.0869509	-0.0428106	0.00418935	0.00019965	-0.0106884	-0.00983445	-0.0231747	-0.00190529	-0.0191137	AMR
HG01110	1735106	1735106	0.0462196	-0.0819549	-0.0404073	0.002119	0.00117532	-0.00891881	-0.0135668	-0.0156465	-0.0018842	-0.001114	AMR
HG01121	1721818	1721818	0.0816358	-0.0595643	-0.0583093	0.0374585	0.000699682	-0.00793583	-0.00909136	-0.0157697	0.00114339	-0.0123608	AMR
HG01136	1734794	1734794	0.0634922	-0.0601881	-0.0573783	0.032597	-0.0022292	-0.0130824	-0.00813581	-0.0142864	-0.00574074	-0.014021	AMR
HG01174	1733918	1733918	0.0717033	-0.096767	-0.0396995	-0.0090571	0.000691288	-0.0100748	-0.012754	-0.0247156	-0.000452202	-0.0120864	AMR
HG01183	1733342	1733342	0.0456178	-0.0785257	-0.0460128	0.00244749	-0.000758091	-0.00666097	-0.0165862	-0.0215976	-0.00184488	-0.00949509	AMR
