IID	ALLELE_CT	NAMED_ALLELE_DOSAGE_SUM	PC1_AVG	PC2_AVG	PC3_AVG	PC4_AVG	PC5_AVG	PC6_AVG	PC7_AVG	PC8_AVG	PC9_AVG	PC10_AVG	super_pop
HG02107	1734148	1734148	-0.27172	0.0141663	-0.000777077	-0.000145341	-0.00932411	-0.000216924	0.0102894	-0.00548828	0.021446	0.0125575	AFR
HG02173	1730360	1730360	0.121062	0.171804	-0.00710647	-0.0404742	-0.0015547	-0.0564391	0.0102459	0.012642	-0.0037855	-0.00142576	EAS
HG02178	1733594	1733594	0.118856	0.171091	-0.00314584	-0.0407467	0.00100609	-0.0537551	0.0113745	0.0139611	-0.000160498	0.000979397	EAS
HG02265	1732162	1732162	0.11969	0.0585135	-0.130834	0.210396	0.00151251	-0.00340809	0.0135864	0.0198909	-0.0022644	0.00622504	AMR
HG02394	1732874	1732874	0.119491	0.166918	-0.00759137	-0.0380662	0.00223682	-0.0554344	0.0113608	0.0128845	0.0013897	-0.00378354	EAS
HG02490	1732422	1732422	0.0913444	-0.057608	0.066143	0.0175857	-0.00268157	-0.000850524	0.00358567	-0.00188405	0.00258297	0.00131922	SAS
HG02491	1732142	1732142	0.0884319	-0.0479304	0.0782075	0.0245953	-0.000647631	-0.00340165	0.00458432	0.00101178	-0.000143655	-0.0153986	SAS
HG02494	1734628	1734628	0.0882185	-0.0541444	0.0654032	0.0182373	-0.000692259	-0.00327686	-0.000882533	-0.00461292	0.00048818	0.000206201	SAS
HG02521	1734342	1734342	0.119747	0.166732	-0.00586285	-0.03284	-0.00174155	-0.0393779	0.00745781	0.00631919	-0.00053337	0.000416297	EAS
HG02597	1735102	1735102	0.0867098	-0.0639539	0.0708859	0.020244	-0.000564729	0.00549104	-0.000797992	-0.0051977	0.00196882	0.00530648	SAS
HG02603	1725086	1725086	0.0849708	-0.0538983	0.0737517	0.0211841	-0.00230397	0.0003177	-0.00533426	-0.0052431	-0.00207369	0.000907095	SAS
HG02604	1734600	1734600	0.0878936	-0.0572944	0.0635669	0.0176024	0.000403049	0.00474391	0.00235051	-0.00242784	-0.00134077	-0.000221883	SAS
HG02610	1729852	1729852	-0.275766	0.0137896	0.000260842	0.00036862	-0.0538378	-0.00452526	-0.0433634	0.0226748	-0.0437128	-0.00142547	AFR
HG02651	1734300	1734300	0.0882473	-0.0490782	0.0723266	0.0230508	-0.00160503	0.00666718	0.00329245	0.00654699	-4.75186e-05	-0.00534801	SAS
HG02652	1728586	1728586	0.0863782	-0.0507046	0.0692534	0.0237326	-0.000678335	0.00733527	0.00159722	0.00421253	0.000127236	0.000666843	SAS
HG02654	1732134	1732134	0.0864159	-0.060848	0.0637998	0.0202936	-0.000323777	-0.00110764	-0.00038225	-0.000127117	0.000481984	0.00120952	SAS
HG02658	1731924	1731924	0.0878857	-0.0447903	0.075717	0.0266428	0.00133044	0.000752215	-0.00116807	-0.00606993	0.00386204	0.00719413	SAS
HG02660	1733496	1733496	0.0901225	-0.0481743	0.0729842	0.0257487	-0.00180948	0.000592228	0.0037478	0.00136945	0.00268609	-0.00407754	SAS
HG02661	1733880	1733880	0.0872365	-0.045119	0.0740213	0.02574	-2.78835e-05	0.00592617	0.0034034	0.00511794	-0.00126257	-0.00611474	SAS
HG02681	1733934	1733934	0.0882995	-0.0571851	0.0657694	0.0172236	-2.77294e-05	-9.85226e-05	0.00159033	0.00186981	-0.000324648	-0.0111567	SAS
HG02682	1732186	1732186	0.0868248	-0.057764	0.0645569	0.016791	0.00126255	0.00264575	0.00405341	0.00469731	-0.00102738	-0.00602266	SAS
HG02685	1729460	1729460	0.0871214	-0.0336543	0.0939334	0.0337947	-0.00218641	-0.000532529	0.00311106	0.00181427	-0.000666503	-0.0355988	SAS
HG02687	1732934	1732934	0.0866302	-0.0266224	0.102583	0.037859	-0.0018718	0.00189085	-0.00157559	0.000345827	0.00148874	-0.0501099	SAS
HG02691	1714418	1714418	0.0842643	-0.0588461	0.0629242	0.0209852	-0.00100762	0.00215337	-0.00163961	-0.00122738	-0.00139285	-0.0055528	SAS
HG02697	1732634	1732634	0.0868941	-0.0559086	0.0680979	0.0221901	-0.00228022	-0.00158003	-0.00144547	-0.00483273	0.00142697	-0.00333252	SAS
HG02700	1718918	1718918	0.0873078	-0.0536509	0.0652567	0.0212302	-0.00364654	-0.000743651	0.00235395	0.0031957	-0.00161262	-0.00316701	SAS
HG02715	1730696	1730696	-0.276611	0.0165186	-0.00251244	-0.00180665	-0.0548664	-0.00342412	-0.0521043	0.0192846	-0.0320909	0.00392492	AFR
HG02725	1728036	1728036	0.0870726	-0.0206519	0.0975378	0.036006	-0.00119268	-0.000178458	-4.97391e-05	0.00271717	0.000448972	-0.0326824	SAS
HG02731	1732654	1732654	0.0858866	-0.0438534	0.0801636	0.0253768	0.000607226	-0.00176019	-0.00142856	-0.00300229	0.00126671	-0.0103751	SAS
HG02733	1732240	1732240	0.0846511	-0.0543394	0.0761072	0.0308869	0.000615239	-0.00410206	0.000333583	-0.0014267	0.000768764	0.000232714	SAS
HG02737	1731320	1731320	0.0876254	-0.0569803	0.0654889	0.0169951	-0.00166479	0.00278338	-0.000401497	-0.000624851	-0.000570785	0.00634364	SAS
HG02772	1731112	1731112	-0.280144	0.0185262	0.000624544	-0.00292678	-0.0584295	-0.00832285	-0.05331	0.0312511	-0.0322879	-0.00891518	AFR
HG02775	1733608	1733608	0.0891855	-0.0263952	0.0921375	0.035921	-0.000662957	0.0017617	-0.00123227	0.00228924	0.00280102	-0.0270758	SAS
HG02778	1727978	1727978	0.0879547	-0.0239186	0.0936675	0.0348323	-0.000255189	0.00173245	-0.00238316	0.00122003	0.00293407	-0.0345977	SAS
HG02780	1732144	1732144	0.0896473	-0.0293254	0.0926349	0.0324776	-0.00144032	-0.000227465	-0.000954741	0.00333276	0.00151848	-0.0397349	SAS
HG02781	1714910	1714910	0.0845136	-0.0278553	0.0945462	0.0363234	-0.00367746	0.00131395	-0.000569068	0.00368566	0.00251793	-0.0442902	SAS
HG02786	1731158	1731158	0.087151	-0.0242505	0.0997736	0.0349799	0.000783025	0.00321873	0.00364051	0.00428325	-0.00125158	-0.0361512	SAS
HG02789	1720124	1720124	0.0869481	-0.0240132	0.0931358	0.0317596	0.00023696	0.00428139	0.00186803	0.00334944	-0.00286675	-0.0326243	SAS
HG02885	1734062	1734062	-0.271321	0.0145769	0.00158335	-0.0019372	-0.0563342	-0.00253329	-0.0597614	0.0290144	-0.0389441	0.0135067	AFR
HG02968	1732776	1732776	-0.286329	0.0175567	0.000165715	-0.00168375	-0.00363851	0.00304352	0.0437864	-0.0227971	-0.00937408	-0.0108587	AFR
HG03007	1731418	1731418	0.091063	-0.00790813	0.0888557	0.033609	2.81321e-06	0.00174825	0.00333366	0.00356073	-0.00408709	-0.00731691	SAS
HG03018	1733166	1733166	0.0864219	-0.0292116	0.0958821	0.0333087	-0.000733472	0.00251726	-0.000283616	0.00521771	0.0024992	-0.0368063	SAS
HG03019	1722878	1722878	0.0851646	-0.0234291	0.0991082	0.0325375	-0.00190339	0.00336607	0.00239723	0.00624967	0.00312992	-0.0358681	SAS
HG03021	1731584	1731584	0.0884569	-0.0254918	0.0965031	0.0353595	0.000320961	0.00397044	0.000198719	0.0024353	0.00276899	-0.0304017	SAS
