IID	ALLELE_CT	NAMED_ALLELE_DOSAGE_SUM	PC1_AVG	PC2_AVG	PC3_AVG	PC4_AVG	PC5_AVG	PC6_AVG	PC7_AVG	PC8_AVG	PC9_AVG	PC10_AVG	super_pop
HG00266	1734752	1734752	0.0967865	-0.110194	-0.0304592	-0.0355422	-0.00308562	0.0293009	0.0296718	0.0653848	-0.00556808	-0.0140489	EUR
HG00268	1735402	1735402	0.0961581	-0.114523	-0.0300349	-0.0375698	-0.00518005	0.0237455	0.0307607	0.0585909	-0.00154573	-0.00353337	EUR
HG00273	1734740	1734740	0.098231	-0.111853	-0.0296424	-0.0370365	-0.00585744	0.0284049	0.0291915	0.0572954	-0.00251179	-0.00521563	EUR
HG00274	1734260	1734260	0.0993913	-0.116303	-0.0338603	-0.0356974	-0.00402214	0.0279638	0.0319186	0.0602501	-0.000946014	-0.00442595	EUR
HG00276	1732908	1732908	0.0967386	-0.110869	-0.0329394	-0.0319829	-0.00569571	0.0338965	0.0336272	0.0698943	-0.0054679	-0.0158494	EUR
HG00277	1734262	1734262	0.0980953	-0.118607	-0.0264739	-0.0349451	-0.00567223	0.0221817	0.0248004	0.0458332	-0.0015188	-0.00191633	EUR
HG00278	1723544	1723544	0.0933489	-0.111746	-0.0318118	-0.0307746	-0.00316349	0.0338577	0.0392935	0.0732523	-0.00835155	-0.00628825	EUR
HG00282	1734408	1734408	0.0972181	-0.107668	-0.0288258	-0.0347779	-0.00339758	0.0331947	0.0342957	0.069819	-0.000741277	-0.00760644	EUR
HG00285	1731870	1731870	0.0985869	-0.106507	-0.0297641	-0.0357205	-0.00576105	0.0330778	0.0360683	0.0762537	-0.00450252	-0.0108546	EUR
HG00288	1732794	1732794	0.0978729	-0.111038	-0.0259551	-0.0309162	-0.00585024	0.0369118	0.0342246	0.0728923	-0.00535685	-0.0108226	EUR
HG00290	1734984	1734984	0.100175	-0.107485	-0.026997	-0.0304974	-0.00606632	0.0346602	0.0379344	0.0796789	-0.00476988	-0.0127743	EUR
HG00306	1733892	1733892	0.0978725	-0.115809	-0.0259811	-0.0339527	-0.00321826	0.0265174	0.027598	0.0556535	-0.00245578	-0.00161486	EUR
HG00308	1718326	1718326	0.095525	-0.108536	-0.0306215	-0.034183	-0.00315946	0.0247714	0.0344098	0.0620851	-0.00604171	-0.0148045	EUR
HG00310	1735172	1735172	0.0977299	-0.117483	-0.0315448	-0.0367081	-0.00509778	0.0255857	0.0300714	0.0554554	-0.00410217	-0.00521644	EUR
HG00313	1735204	1735204	0.0983646	-0.10917	-0.0317427	-0.034599	-0.00545102	0.0340937	0.0345712	0.0714899	-0.00798828	-0.0118921	EUR
HG00318	1734932	1734932	0.0980386	-0.115759	-0.0309958	-0.0349808	-0.00454616	0.0321609	0.0309921	0.0637766	-0.00356144	-0.00523644	EUR
HG00321	1735414	1735414	0.0995195	-0.107995	-0.0313734	-0.0322546	-0.00337078	0.027108	0.0328056	0.0645021	-0.00116129	-0.0108327	EUR
HG00323	1735688	1735688	0.0975758	-0.110211	-0.0309567	-0.0357184	-0.00729873	0.0337497	0.0372052	0.0790993	-0.00362245	-0.0149736	EUR
HG00327	1734086	1734086	0.0990952	-0.108804	-0.0289682	-0.0337184	-0.00558774	0.0292549	0.0305292	0.0695292	-0.00400748	-0.0101068	EUR
HG00328	1735654	1735654	0.0986016	-0.114818	-0.0335075	-0.032786	-0.00466805	0.0244146	0.0317231	0.0627867	-0.00105457	-0.00791656	EUR
HG00330	1734716	1734716	0.0966819	-0.110877	-0.0308338	-0.0356941	-0.00307883	0.0290504	0.0278638	0.0582945	0.00248854	-0.000530024	EUR
HG00334	1735778	1735778	0.097301	-0.117185	-0.0337843	-0.0364371	-0.0043104	0.0234066	0.0298517	0.059433	-0.00266908	-0.00813657	EUR
HG00335	1733412	1733412	0.0993212	-0.111989	-0.031628	-0.0375379	-0.00436311	0.0284335	0.0312204	0.064557	-0.00670135	-0.00494027	EUR
HG00337	1735438	1735438	0.0976208	-0.119157	-0.0342797	-0.037077	-0.00476159	0.0230662	0.0239375	0.0518693	0.0025762	-0.00322614	EUR
HG00342	1734864	1734864	0.100098	-0.106668	-0.0317522	-0.0357733	-0.00287384	0.0329853	0.0380211	0.0760355	-0.00560594	-0.0114184	EUR
HG00343	1735732	1735732	0.0978658	-0.112366	-0.0331648	-0.0364874	-0.00475819	0.033109	0.0351338	0.0741181	-0.00272261	-0.0102269	EUR
HG00344	1734464	1734464	0.097732	-0.119257	-0.0277357	-0.0366636	-0.00170314	0.0159357	0.0218131	0.0380733	-0.00177027	-0.00176431	EUR
HG00350	1735754	1735754	0.0942762	-0.12127	-0.0318192	-0.0377746	-0.00262373	0.0194719	0.0196094	0.0416631	0.000815756	0.00235073	EUR
HG00353	1733266	1733266	0.0993913	-0.112316	-0.0315466	-0.0364714	-0.00421003	0.026433	0.0325845	0.0679949	-0.00325974	-0.0145499	EUR
HG00356	1732532	1732532	0.0974237	-0.112463	-0.0313582	-0.0339699	-0.00396398	0.0302973	0.0296349	0.0647053	-0.00391765	-0.00414732	EUR
HG00357	1728098	1728098	0.0984139	-0.114409	-0.0316132	-0.0345531	-0.00473577	0.0287477	0.0303336	0.0646076	-0.00560463	-0.00650882	EUR
