IID	ALLELE_CT	NAMED_ALLELE_DOSAGE_SUM	PC1_AVG	PC2_AVG	PC3_AVG	PC4_AVG	PC5_AVG	PC6_AVG	PC7_AVG	PC8_AVG	PC9_AVG	PC10_AVG	super_pop
HG00674	1728630	1728630	0.119914	0.17457	-0.0137892	-0.0352799	-0.00068367	-0.0140542	0.0031154	0.00414863	-0.00076095	0.000706443	EAS
HG00675	1728660	1728660	0.122192	0.176013	-0.0111304	-0.0366526	0.000387702	-0.01018	-0.00053846	0.000580913	7.88528e-05	-0.000162461	EAS
HG00689	1735244	1735244	0.123837	0.176837	-0.0137634	-0.0347374	-0.00139254	-0.0122786	-0.00151397	-0.00384078	-0.00337322	0.00916369	EAS
HG00690	1734934	1734934	0.122558	0.172398	-0.0132825	-0.0353286	-0.000730681	-0.016437	0.00137539	0.00235265	-0.00280409	0.00579259	EAS
HG00692	1735176	1735176	0.122233	0.171081	-0.0120705	-0.0318885	-0.00205698	-0.0155836	0.00728976	0.00659746	-0.00101568	0.00324296	EAS
HG00704	1735758	1735758	0.123236	0.172579	-0.0151688	-0.0328169	-0.00015786	-0.0117755	0.00393326	0.00323917	-0.00156693	0.00576004	EAS
HG00705	1727246	1727246	0.122339	0.173797	-0.0130311	-0.0380721	-0.00153657	-0.0130345	0.00272173	0.00398005	-0.00234723	0.00845149	EAS
HG00708	1735686	1735686	0.123084	0.174911	-0.0146663	-0.0374937	0.000439742	-0.0119751	0.00339006	-0.000565523	0.00137451	0.00756789	EAS
HG00716	1733516	1733516	0.121842	0.173279	-0.0162282	-0.0359231	-0.000951538	-0.0145346	0.000895211	0.004116	-0.000751751	0.00271254	EAS
HG00728	1729930	1729930	0.124994	0.170597	-0.0117395	-0.0376929	-0.00131832	-0.0161388	0.00103993	0.0026787	-0.000892202	0.000787353	EAS
HG00759	1730740	1730740	0.121587	0.170662	-0.00633011	-0.0371633	-0.00220642	-0.04979	0.0120565	0.0136488	-0.000737085	0.00135647	EAS
HG00766	1736024	1736024	0.121036	0.169797	-0.0108161	-0.0423527	-0.000246512	-0.0501315	0.0132378	0.0155493	-0.00169721	0.00361184	EAS
HG00851	1734608	1734608	0.121103	0.1721	-0.0100434	-0.039099	-0.00139262	-0.0533998	0.0119965	0.0148857	-0.00359468	0.00107383	EAS
HG00864	1733504	1733504	0.120464	0.167618	-0.0052222	-0.0397674	-0.0023291	-0.0500343	0.0117552	0.0121198	-0.00199516	0.000499952	EAS
HG00867	1735616	1735616	0.120385	0.172206	-0.0114371	-0.0377203	0.00102299	-0.049922	0.010757	0.015088	-0.00236381	-0.00428655	EAS
HG00879	1734486	1734486	0.118056	0.17289	-0.00633414	-0.0379191	0.00155904	-0.0548966	0.0117091	0.0145278	-0.00251544	-0.00389741	EAS
HG00881	1732702	1732702	0.120721	0.173695	-0.00785817	-0.0389158	-0.000528877	-0.0544303	0.0121532	0.0110556	0.00193493	0.00364786	EAS
HG01029	1734292	1734292	0.119432	0.171092	-0.00697264	-0.0410124	0.00152048	-0.0535177	0.0127612	0.0115916	-0.00141237	-0.00154804	EAS
